"filename", "language", "JavaScript", "SCSS", "XML", "Markdown", "JSON", "JSON with Comments", "HTML", "Properties", "YAML", "comment", "blank", "total"
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Default\ApplCardLong.js", "JavaScript", 156, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 176
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Default\index.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 56
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\BajajAreaChartCard.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 64
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\EarningCard.js", "JavaScript", 171, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 188
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\PopularCard.js", "JavaScript", 294, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 310
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\TotalGrowthBarChart.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 141
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\TotalIncomeDarkCard.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 100
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\TotalIncomeLightCard.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 100
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\TotalOrderLineChartCard.js", "JavaScript", 159, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 178
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\admissions\index.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 31, 7, 60
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\chart-data\bajaj-area-chart.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 43
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\chart-data\total-growth-bar-chart.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 88
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\chart-data\total-order-month-line-chart.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 53
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\chart-data\total-order-year-line-chart.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 53
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\requests\ApplCard.js", "JavaScript", 369, 0, 0, 0, 0, 0, 0, 0, 0, 33, 17, 419
"e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\requests\index.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 29, 7, 83
"e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\AuthCardWrapper.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 33
"e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\AuthWrapper1.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 12
"e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\auth-forms\AuthLogin.js", "JavaScript", 244, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 266
"e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\auth-forms\AuthRegister.js", "JavaScript", 312, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 340
"e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\authentication3\Login3.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 87
"e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\authentication3\Register3.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 87
"e:\webdevelopment\dvki\client\frontend\src\views\pages\certificates\CertificatesWrapper.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 33
"e:\webdevelopment\dvki\client\frontend\src\views\pages\certificates\request\index.js", "JavaScript", 265, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 274
"e:\webdevelopment\dvki\client\frontend\src\views\pages\certificates\verify\index.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 95
"e:\webdevelopment\dvki\client\frontend\src\views\sample-page\hero.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 82
"e:\webdevelopment\dvki\client\frontend\src\views\sample-page\index.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 19
"e:\webdevelopment\dvki\client\frontend\src\views\utilities\Color.js", "JavaScript", 215, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 228
"e:\webdevelopment\dvki\client\frontend\src\views\utilities\MaterialIcons.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 26
"e:\webdevelopment\dvki\client\frontend\src\views\utilities\Shadow.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 126
"e:\webdevelopment\dvki\client\frontend\src\views\utilities\TablerIcons.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 29
"e:\webdevelopment\dvki\client\frontend\src\views\utilities\Typography.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 127
"Total", "-", 7624, 209, 334, 53, 42310, 9, 33, 12, 35, 614, 834, 52067
